sample;tokens;tags
маршемеллоу;['▁марш', 'е', 'мел', 'ло', 'у'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
паэл;['▁па', 'эл'];['B-TYPE', 'I-TYPE']
domestios;['▁do', 'mesti', 'os'];['B-BRAND', 'I-BRAND', 'I-BRAND']
смородйна;['▁смо', 'род', 'йна'];['B-TYPE', 'I-TYPE', 'I-TYPE']
рублевский зель;['▁руб', 'лев', 'ский', '▁з', 'ель'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
хлебф;['▁хлеб', 'ф'];['B-TYPE', 'I-TYPE']
горошек lutik;['▁гор', 'о', 'шек', '▁lu', 'tik'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
ремит сыровяленые;['▁ре', 'мит', '▁сыр', 'ов', 'я', 'ле', 'ные'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
морожни;['▁мо', 'рож', 'ни'];['B-TYPE', 'I-TYPE', 'I-TYPE']
сиф;['▁си', 'ф'];['B-TYPE', 'I-TYPE']
ультрарастеризованное;['▁ультра', 'ра', 'стер', 'изован', 'ное'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
пюре фруктовое с печеньем;['▁пюре', '▁фр', 'ук', 'то', 'вое', '▁с', '▁пече', 'нь', 'ем'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
макаароны;['▁мак', 'аар', 'оны'];['B-TYPE', 'I-TYPE', 'I-TYPE']
стиральный порош;['▁с', 'тир', 'альный', '▁по', 'рош'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
papstar н;['▁pap', 'star', '▁н'];['B-BRAND', 'I-BRAND', 'B-TYPE']
семян;['▁се', 'мян'];['B-TYPE', 'I-TYPE']
купусту;['▁куп', 'у', 'сту'];['B-TYPE', 'I-TYPE', 'I-TYPE']
посуда одноразовая;['▁посуд', 'а', '▁одно', 'раз', 'овая'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
салат смесь;['▁салат', '▁сме', 'сь'];['B-TYPE', 'B-TYPE', 'I-TYPE']
сухариуи;['▁су', 'хар', 'и', 'у', 'и'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
булка городская;['▁бул', 'ка', '▁город', 'ская'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
шшоколад;['▁ш', 'шок', 'о', 'лад'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
белый хлеб;['▁бел', 'ый', '▁хлеб'];['B-TYPE', 'I-TYPE', 'B-TYPE']
ветчина casademont;['▁вет', 'чина', '▁casa', 'de', 'mont'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
сахаращаменитель;['▁са', 'ха', 'раща', 'мен', 'итель'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
карамкль;['▁кара', 'мк', 'ль'];['B-TYPE', 'I-TYPE', 'I-TYPE']
напиток кисломолочный;['▁на', 'пит', 'ок', '▁ки', 'сло', 'моло', 'чный'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
видеоигр;['▁видео', 'и', 'гр'];['B-TYPE', 'I-TYPE', 'I-TYPE']
пельмени с маслом;['▁', 'пель', 'мени', '▁с', '▁масло', 'м'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O']
гудми;['▁гу', 'д', 'ми'];['B-BRAND', 'I-BRAND', 'I-BRAND']
гель для чтируи;['▁', 'гель', '▁для', '▁ч', 'ти', 'ру', 'и'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O', 'O']
мечта смета;['▁мечта', '▁смета'];['B-BRAND', 'B-TYPE']
печеники;['▁пече', 'ники'];['B-TYPE', 'I-TYPE']
куртца;['▁кур', 'т', 'ца'];['B-TYPE', 'I-TYPE', 'I-TYPE']
твоног;['▁т', 'во', 'ног'];['B-TYPE', 'I-TYPE', 'I-TYPE']
коробк;['▁короб', 'к'];['B-TYPE', 'I-TYPE']
шашык;['▁шаш', 'ык'];['B-TYPE', 'I-TYPE']
халопенья;['▁ха', 'лоп', 'ень', 'я'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
горчица kam;['▁гор', 'чица', '▁kam'];['B-TYPE', 'I-TYPE', 'B-BRAND']
кремобоно;['▁крем', 'обо', 'но'];['B-TYPE', 'I-TYPE', 'I-TYPE']
тавр шп;['▁та', 'вр', '▁шп'];['B-BRAND', 'I-BRAND', 'B-TYPE']
зелерь;['▁з', 'еле', 'рь'];['B-TYPE', 'I-TYPE', 'I-TYPE']
жевательные конфеты;['▁же', 'ва', 'тельные', '▁конф', 'е', 'ты'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
сдоба зерниц;['▁с', 'доб', 'а', '▁', 'зер', 'ни', 'ц'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
заморонны;['▁зам', 'орон', 'ны'];['O', 'O', 'O']
сливочная;['▁с', 'ливо', 'чная'];['B-TYPE', 'I-TYPE', 'I-TYPE']
тазы хаусман;['▁та', 'зы', '▁ха', 'у', 'сман'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
кислая;['▁ки', 'сла', 'я'];['B-TYPE', 'I-TYPE', 'I-TYPE']
сдоба с кори;['▁с', 'доб', 'а', '▁с', '▁кори'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O']
виски dunhill;['▁ви', 'ски', '▁dun', 'hill'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
крупа пшено;['▁круп', 'а', '▁п', 'ше', 'но'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
жвачка мятная;['▁ж', 'ва', 'чка', '▁м', 'ят', 'ная'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
миллер;['▁', 'мил', 'лер'];['B-BRAND', 'I-BRAND', 'I-BRAND']
маршмеллу;['▁марш', 'мел', 'лу'];['B-TYPE', 'I-TYPE', 'I-TYPE']
морожене;['▁мор', 'ожен', 'е'];['B-TYPE', 'I-TYPE', 'I-TYPE']
карточфель;['▁карт', 'оч', 'фе', 'ль'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
шоколад.;['▁шоколад', '.'];['B-TYPE', 'I-TYPE']
хлеб зерница;['▁хлеб', '▁', 'зер', 'ница'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
капртофель;['▁кап', 'рт', 'оф', 'ель'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
ladograd зельцы;['▁lado', 'grad', '▁', 'зе', 'льцы'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE']
драже tic tac;['▁дра', 'же', '▁tic', '▁tac'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'B-BRAND']
кечуп;['▁кеч', 'уп'];['B-TYPE', 'I-TYPE']
помодоры;['▁пом', 'одо', 'ры'];['B-TYPE', 'I-TYPE', 'I-TYPE']
печенье;['▁пече', 'нь', 'е'];['B-TYPE', 'I-TYPE', 'I-TYPE']
biola;['▁bio', 'la'];['B-BRAND', 'I-BRAND']
архимед стака;['▁архи', 'мед', '▁ста', 'ка'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
scandik;['▁scan', 'dik'];['B-BRAND', 'I-BRAND']
эсплфетки;['▁эс', 'пл', 'фет', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
морсик;['▁мор', 'сик'];['B-TYPE', 'I-TYPE']
няма;['▁няма'];['B-TYPE']
печанье;['▁печ', 'ань', 'е'];['B-TYPE', 'I-TYPE', 'I-TYPE']
пюре мясо;['▁пюре', '▁мя', 'со'];['B-TYPE', 'B-TYPE', 'I-TYPE']
арбуз.;['▁ар', 'буз', '.'];['B-TYPE', 'I-TYPE', 'I-TYPE']
туалетная бумага челнинская;['▁туалет', 'ная', '▁бумаг', 'а', '▁че', 'лни', 'нская'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
yax суфл;['▁ya', 'x', '▁су', 'ф', 'л'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE']
гранулах с;['▁гра', 'нула', 'х', '▁с'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND']
колгот. помпея;['▁кол', 'гот', '.', '▁пом', 'пе', 'я'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
очки версо;['▁', 'очки', '▁вер', 'со'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
йогуртный;['▁й', 'о', 'гурт', 'ный'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
rost баклаж;['▁rost', '▁бак', 'лаж'];['B-BRAND', 'B-TYPE', 'I-TYPE']
растит масло за;['▁раст', 'ит', '▁масло', '▁за'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'O']
ьелизна;['▁', 'ье', 'ли', 'зна'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
муусор;['▁муу', 'сор'];['B-TYPE', 'I-TYPE']
немрооко;['▁нем', 'роо', 'ко'];['B-TYPE', 'I-TYPE', 'I-TYPE']
гречка в пакеи;['▁гре', 'чка', '▁в', '▁па', 'ке', 'и'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
оладьи котмарк;['▁', 'ола', 'дь', 'и', '▁кот', 'марк'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
сахар1;['▁сахар', '1'];['B-TYPE', 'I-TYPE']
птитими;['▁', 'пт', 'ити', 'ми'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
гамак;['▁га', 'мак'];['B-TYPE', 'I-TYPE']
пылесосы energy;['▁пыл', 'е', 'со', 'сы', '▁energy'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND']
пицетта;['▁пи', 'це', 'т', 'та'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
саперави;['▁са', 'пера', 'ви'];['B-BRAND', 'I-BRAND', 'I-BRAND']
чкдо;['▁ч', 'к', 'до'];['B-TYPE', 'I-TYPE', 'I-TYPE']
свеклв;['▁све', 'кл', 'в'];['B-TYPE', 'I-TYPE', 'I-TYPE']
космос удлинитель;['▁космос', '▁у', 'длин', 'итель'];['B-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE']
свининохлажденная;['▁сви', 'нин', 'ох', 'лаж', 'ден', 'ная'];['O', 'O', 'O', 'O', 'O', 'O']
кондитерка;['▁кон', 'дите', 'рка'];['B-TYPE', 'I-TYPE', 'I-TYPE']
колбаса в нарезке;['▁кол', 'баса', '▁в', '▁на', 'рез', 'ке'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
стейк из грудки;['▁', 'стей', 'к', '▁из', '▁груд', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O']
сосись;['▁', 'сос', 'ись'];['B-TYPE', 'I-TYPE', 'I-TYPE']
кролика охлажденны;['▁кро', 'лика', '▁ох', 'лаж', 'ден', 'ны'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
cметана;['▁c', 'мета', 'на'];['B-TYPE', 'I-TYPE', 'I-TYPE']
котлеты с ветчиной;['▁кот', 'лет', 'ы', '▁с', '▁вет', 'чи', 'ной'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
helnz;['▁hel', 'nz'];['B-BRAND', 'I-BRAND']
свиная;['▁сви', 'ная'];['B-TYPE', 'I-TYPE']
хлебцы;['▁хлеб', 'цы'];['B-TYPE', 'I-TYPE']
жир;['▁жир'];['B-TYPE']
крем золуш;['▁крем', '▁зо', 'луш'];['B-TYPE', 'B-BRAND', 'I-BRAND']
вареная свекла;['▁вар', 'е', 'ная', '▁све', 'кла'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
полосктик;['▁полос', 'к', 'тик'];['B-TYPE', 'I-TYPE', 'I-TYPE']
суп+;['▁суп', '+'];['B-TYPE', 'I-TYPE']
сок вишневый детский;['▁сок', '▁', 'виш', 'нев', 'ый', '▁детски', 'й'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
желе творожно;['▁желе', '▁твор', 'о', 'жно'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
томатнаяй;['▁том', 'ат', 'ная', 'й'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
рыбный фар;['▁рыб', 'ный', '▁фар'];['B-TYPE', 'I-TYPE', 'B-TYPE']
полукопченная колбаса;['▁полу', 'коп', 'чен', 'ная', '▁кол', 'баса'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
курина грудка;['▁кур', 'ина', '▁груд', 'ка'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
ч4снок;['▁ч', '4', 'сно', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
lactic;['▁la', 'ctic'];['B-TYPE', 'I-TYPE']
средстао доч посуды;['▁сред', 'ста', 'о', '▁до', 'ч', '▁посуд', 'ы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
таврия шпи;['▁тав', 'рия', '▁шп', 'и'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
лакомка то;['▁лако', 'м', 'ка', '▁то'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE']
млроженное;['▁мл', 'рож', 'енное'];['B-TYPE', 'I-TYPE', 'I-TYPE']
чавапчичи;['▁', 'чава', 'п', 'чи', 'чи'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
чйца;['▁ч', 'й', 'ца'];['B-TYPE', 'I-TYPE', 'I-TYPE']
моолок;['▁мо', 'о', 'лок'];['B-TYPE', 'I-TYPE', 'I-TYPE']
корм кошкам сухой;['▁корм', '▁кош', 'кам', '▁сухо', 'й'];['B-TYPE', 'O', 'O', 'O', 'O']
сыр греческий;['▁сыр', '▁гре', 'чески', 'й'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
чрлянка;['▁ч', 'р', 'лян', 'ка'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
кунжутис;['▁', 'кун', 'жу', 'тис'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
фруатэ;['▁фр', 'уа', 'тэ'];['B-TYPE', 'I-TYPE', 'I-TYPE']
проигрыватели диско;['▁про', 'игры', 'ва', 'тели', '▁диск', 'о'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
мука блинна;['▁му', 'ка', '▁б', 'лин', 'на'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
сгкщеное;['▁с', 'г', 'к', 'ще', 'ное'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
жидкость для зеркал;['▁жи', 'д', 'кость', '▁для', '▁', 'зеркал'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O']
растигка;['▁раст', 'иг', 'ка'];['B-TYPE', 'I-TYPE', 'I-TYPE']
сыр плавленный;['▁сыр', '▁плав', 'лен', 'ный'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
копченые колбаски;['▁коп', 'че', 'ные', '▁кол', 'ба', 'ски'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
сухарики пшеничные с сыром;['▁су', 'хар', 'ики', '▁п', 'шени', 'чные', '▁с', '▁сыр', 'ом'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O']
сушонный;['▁су', 'шо', 'нный'];['B-TYPE', 'I-TYPE', 'I-TYPE']
молочный смес;['▁мол', 'очный', '▁смес'];['B-TYPE', 'I-TYPE', 'B-TYPE']
сыркил;['▁сыр', 'ки', 'л'];['B-TYPE', 'I-TYPE', 'I-TYPE']
вафельный;['▁в', 'аф', 'ель', 'ный'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
фкольаса;['▁ф', 'коль', 'а', 'са'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
туальеная;['▁ту', 'аль', 'е', 'ная'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
моцарела шердинг;['▁мо', 'цар', 'ела', '▁шер', 'динг'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
йогурт питьевой;['▁й', 'о', 'гурт', '▁', 'пить', 'евой'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
нитка;['▁ни', 'тка'];['B-TYPE', 'I-TYPE']
салти;['▁салт', 'и'];['B-TYPE', 'I-TYPE']
одноразовый стан;['▁одно', 'раз', 'овый', '▁стан'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE']
зефирн;['▁з', 'еф', 'ир', 'н'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
гспагетти;['▁г', 'спа', 'ге', 'т', 'ти'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
медалтоны;['▁медал', 'то', 'ны'];['B-TYPE', 'I-TYPE', 'I-TYPE']
чеснок тенде;['▁че', 'сно', 'к', '▁те', 'нде'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
картошка с грибами;['▁кар', 'то', 'шка', '▁с', '▁гриб', 'ами'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O']
открытки, календа;['▁открыт', 'ки', ',', '▁кал', 'ен', 'да'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
хелеб;['▁хе', 'леб'];['B-TYPE', 'I-TYPE']
полуопчене колбаси;['▁полу', 'оп', 'че', 'не', '▁кол', 'бас', 'и'];['O', 'O', 'O', 'O', 'O', 'O', 'O']
alpenland;['▁al', 'pen', 'land'];['B-BRAND', 'I-BRAND', 'I-BRAND']
№1 диффузо;['▁No', '1', '▁ди', 'фф', 'у', 'зо'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
филе ми;['▁фил', 'е', '▁ми'];['B-TYPE', 'I-TYPE', 'B-TYPE']
грудкп;['▁груд', 'к', 'п'];['B-TYPE', 'I-TYPE', 'I-TYPE']
подсолнечник;['▁под', 'сол', 'не', 'чник'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
трубочка колиб;['▁труб', 'очка', '▁коли', 'б'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
мороженое эскимо;['▁мор', 'ожен', 'ое', '▁эс', 'ки', 'мо'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
сыиники;['▁сы', 'и', 'ники'];['B-TYPE', 'I-TYPE', 'I-TYPE']
сметун;['▁сме', 'тун'];['B-TYPE', 'I-TYPE']
пюрн;['▁п', 'юр', 'н'];['B-TYPE', 'I-TYPE', 'I-TYPE']
водный спор;['▁вод', 'ный', '▁спор'];['B-TYPE', 'I-TYPE', 'B-TYPE']
морковса;['▁мор', 'ков', 'са'];['B-TYPE', 'I-TYPE', 'I-TYPE']
сушенный укроп;['▁су', 'шен', 'ный', '▁укр', 'оп'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
призер тру;['▁при', 'зер', '▁', 'тру'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
зра;['▁', 'зра'];['O', 'O']
рулет с вареной сгущёнкой;['▁рулет', '▁с', '▁вар', 'е', 'ной', '▁с', 'гу', 'щ', 'ён', 'кой'];['B-TYPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
холодц;['▁холод', 'ц'];['B-TYPE', 'I-TYPE']
скир;['▁с', 'кир'];['B-TYPE', 'I-TYPE']
йогурты с шариками;['▁й', 'о', 'гур', 'ты', '▁с', '▁шар', 'и', 'ками'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
переноски homepe;['▁перенос', 'ки', '▁home', 'pe'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
am;['▁am'];['O']
purino;['▁pur', 'ino'];['B-BRAND', 'I-BRAND']
fackelmann хлебницы;['▁fac', 'kel', 'mann', '▁хлеб', 'ницы'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
кусочки фруктовые;['▁', 'кус', 'очки', '▁фр', 'ук', 'т', 'овые'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
обувь домашня;['▁обу', 'в', 'ь', '▁дома', 'шня'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
твлрож;['▁т', 'вл', 'рож'];['B-TYPE', 'I-TYPE', 'I-TYPE']
колбаспа;['▁кол', 'ба', 'спа'];['B-TYPE', 'I-TYPE', 'I-TYPE']
семейчки;['▁семей', 'чки'];['B-TYPE', 'I-TYPE']
петрушеп;['▁пет', 'руш', 'еп'];['B-TYPE', 'I-TYPE', 'I-TYPE']
подсоднечное;['▁подс', 'од', 'не', 'чно', 'е'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
червяки;['▁черв', 'я', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE']
морковка по корельски;['▁мор', 'ков', 'ка', '▁по', '▁кор', 'ель', 'ски'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
плавл;['▁плав', 'л'];['B-TYPE', 'I-TYPE']
гранулы;['▁', 'гран', 'улы'];['B-TYPE', 'I-TYPE', 'I-TYPE']
констругтором;['▁кон', 'стру', 'г', 'тор', 'ом'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
эелатин;['▁э', 'ела', 'тин'];['B-TYPE', 'I-TYPE', 'I-TYPE']
полотенце бумажные;['▁пол', 'от', 'енце', '▁бу', 'ма', 'ж', 'ные'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
булочки для хот дога;['▁було', 'чки', '▁для', '▁хот', '▁до', 'га'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
трубочка колибр;['▁труб', 'очка', '▁коли', 'бр'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
переноски ferplas;['▁перенос', 'ки', '▁fer', 'plas'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
некта;['▁не', 'кта'];['B-TYPE', 'I-TYPE']
киреешки;['▁кир', 'ее', 'шки'];['B-TYPE', 'I-TYPE', 'I-TYPE']
готовые;['▁готовы', 'е'];['B-TYPE', 'I-TYPE']
булка с чесноком;['▁бул', 'ка', '▁с', '▁че', 'сно', 'ком'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
булачка;['▁була', 'чка'];['B-TYPE', 'I-TYPE']
варенная сгущенка;['▁вар', 'енная', '▁с', 'гу', 'щен', 'ка'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
тесто для пи;['▁тест', 'о', '▁для', '▁пи'];['B-TYPE', 'I-TYPE', 'O', 'O']
батарейки для пульта;['▁бата', 'рей', 'ки', '▁для', '▁пу', 'ль', 'та'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
сгущеное молоко;['▁с', 'гу', 'ще', 'ное', '▁молоко'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE']
фэри;['▁', 'фэ', 'ри'];['B-BRAND', 'I-BRAND', 'I-BRAND']
зоохрук;['▁зо', 'ох', 'рук'];['B-TYPE', 'I-TYPE', 'I-TYPE']
пиржных;['▁', 'пир', 'жных'];['B-TYPE', 'I-TYPE', 'I-TYPE']
круасаны;['▁кру', 'асан', 'ы'];['B-TYPE', 'I-TYPE', 'I-TYPE']
грунт торф;['▁грунт', '▁то', 'рф'];['B-TYPE', 'B-TYPE', 'I-TYPE']
корм бля ст;['▁корм', '▁', 'бля', '▁ст'];['B-TYPE', 'O', 'O', 'O']
бисквитные;['▁би', 'ск', 'вит', 'ные'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
зародышей;['▁за', 'род', 'ы', 'шей'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
сыыр;['▁сы', 'ыр'];['B-TYPE', 'I-TYPE']
korex;['▁kore', 'x'];['B-BRAND', 'I-BRAND']
сахоразаменитель;['▁са', 'хор', 'аза', 'мен', 'итель'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
контейнеры для еды;['▁контейнер', 'ы', '▁для', '▁е', 'ды'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O']
раст;['▁раст'];['B-TYPE']
колбаски велес;['▁кол', 'ба', 'ски', '▁веле', 'с'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
вяленые помидоры;['▁в', 'я', 'ле', 'ные', '▁пом', 'ид', 'оры'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
гребешки;['▁гре', 'бе', 'шки'];['B-TYPE', 'I-TYPE', 'I-TYPE']
чвекла;['▁ч', 'век', 'ла'];['B-TYPE', 'I-TYPE', 'I-TYPE']
маква;['▁ма', 'ква'];['B-TYPE', 'I-TYPE']
паровые очистител;['▁пар', 'овые', '▁очисти', 'тел'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
речка;['▁реч', 'ка'];['B-TYPE', 'I-TYPE']
собачий;['▁соба', 'чий'];['B-TYPE', 'I-TYPE']
homepet перенос;['▁home', 'pet', '▁перенос'];['B-BRAND', 'I-BRAND', 'B-TYPE']
мыдо жидкое;['▁мы', 'до', '▁жи', 'д', 'кое'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
пресервы рыбн;['▁пре', 'сер', 'вы', '▁рыб', 'н'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
minis;['▁mini', 's'];['B-BRAND', 'I-BRAND']
