Токен;Возможные теги;Частота в train
ov;BRAND, O;3
▁спор;O, TYPE;3
▁двор;O, TYPE;3
▁сма;BRAND, TYPE;3
стан;BRAND, TYPE;3
▁bas;BRAND, O;3
▁первый;BRAND, TYPE;3
▁fa;BRAND, O;3
▁рр;BRAND, O;3
▁ближ;O, TYPE;3
ове;O, TYPE;3
ion;BRAND, O;3
se;BRAND, O;3
▁ласка;BRAND, TYPE;3
▁веро;BRAND, O, TYPE;3
▁au;BRAND, O;3
▁солнечн;BRAND, TYPE;3
лг;O, TYPE;3
▁балон;BRAND, TYPE;3
маа;BRAND, O, TYPE;3
бар;BRAND, TYPE;3
жна;O, TYPE;3
ner;BRAND, O;3
ul;BRAND, O;3
нти;O, TYPE;3
▁тис;BRAND, O;3
▁крут;BRAND, TYPE;3
кли;BRAND, TYPE;3
тия;BRAND, TYPE;3
▁банка;O, TYPE;3
▁край;BRAND, TYPE;3
саж;O, TYPE;3
▁моли;O, TYPE;3
ar;BRAND, O;3
▁любим;BRAND, O;3
▁русский;BRAND, O, TYPE;3
▁спорт;BRAND, TYPE;3
луш;BRAND, TYPE;3
▁ой;O, TYPE;3
яд;O, TYPE;3
гра;O, TYPE;3
▁en;BRAND, O;3
il;BRAND, TYPE;3
цка;O, TYPE;3
▁род;BRAND, TYPE;3
▁гли;O, TYPE;3
стры;O, TYPE;3
пли;BRAND, TYPE;3
▁тя;O, TYPE;3
▁юу;O, TYPE;3
▁oo;O, TYPE;3
▁dre;BRAND, O;3
стой;O, TYPE;3
стри;O, TYPE;3
мень;BRAND, TYPE;3
▁бланк;BRAND, TYPE;3
нет;BRAND, TYPE;3
аар;O, TYPE;3
бул;BRAND, TYPE;3
мир;BRAND, TYPE;3
лака;BRAND, O, TYPE;3
нят;O, TYPE;3
овых;O, TYPE;3
▁тук;O, TYPE;3
▁готов;O, TYPE;3
pa;BRAND, TYPE;3
чика;O, TYPE;3
▁бил;BRAND, TYPE;3
мур;BRAND, O;3
▁семей;BRAND, TYPE;3
▁пов;O, TYPE;3
кг;TYPE, VOLUME;3
дан;BRAND, TYPE;3
лина;BRAND, TYPE;3
▁музыка;O, TYPE;3
бна;O, TYPE;3
▁гори;O, TYPE;3
▁ад;BRAND, TYPE;3
mo;BRAND, TYPE;3
ничка;O, TYPE;3
рат;BRAND, TYPE;3
▁вр;O, TYPE;3
▁теле;BRAND, TYPE;3
▁есен;BRAND, TYPE;3
дад;BRAND, TYPE;3
▁energ;BRAND, TYPE;3
ума;BRAND, TYPE;3
▁став;BRAND, TYPE;3
гла;O, TYPE;3
▁ама;BRAND, TYPE;3
пси;BRAND, TYPE;3
ява;BRAND, O;3
▁fris;BRAND, O;3
ода;O, TYPE;3
аси;BRAND, TYPE;3
▁лет;O, TYPE;3
ука;BRAND, TYPE;3
цкая;BRAND, TYPE;3
иле;BRAND, TYPE;3
ly;BRAND, TYPE;3
мм;BRAND, TYPE;3
em;BRAND, O;3
loko;BRAND, TYPE;3
сме;O, TYPE;3
▁букет;BRAND, TYPE;3
▁большой;BRAND, O, VOLUME;3
▁олон;BRAND, TYPE;3
pol;BRAND, O;2
завод;BRAND, O;2
жим;O, TYPE;2
▁nemo;BRAND, TYPE;2
▁тур;O, TYPE;2
▁ge;BRAND, O;2
прес;BRAND, TYPE;2
вест;BRAND, TYPE;2
сим;BRAND, TYPE;2
рев;BRAND, TYPE;2
▁чува;BRAND, TYPE;2
so;BRAND, O;2
▁veg;BRAND, TYPE;2
мес;BRAND, O;2
▁зам;O, TYPE;2
рой;BRAND, TYPE;2
▁жа;O, TYPE;2
▁оно;O, TYPE;2
йс;O, TYPE;2
▁ач;O, TYPE;2
ctic;BRAND, TYPE;2
мотив;BRAND, TYPE;2
▁сни;BRAND, TYPE;2
▁роб;BRAND, TYPE;2
▁морски;BRAND, TYPE;2
▁sweet;BRAND, TYPE;2
▁eva;BRAND, O;2
▁энергия;BRAND, TYPE;2
шип;O, TYPE;2
кат;BRAND, TYPE;2
нска;O, TYPE;2
▁ход;O, TYPE;2
▁tvor;BRAND, TYPE;2
ogi;BRAND, TYPE;2
уд;BRAND, TYPE;2
▁пав;BRAND, TYPE;2
лар;BRAND, TYPE;2
▁aloe;BRAND, TYPE;2
инт;O, TYPE;2
vel;BRAND, O;2
тура;BRAND, TYPE;2
пет;O, TYPE;2
▁победа;BRAND, TYPE;2
шке;O, TYPE;2
дача;BRAND, TYPE;2
▁боль;O, TYPE;2
▁ol;BRAND, O;2
▁sla;BRAND, TYPE;2
▁мама;O, TYPE;2
лама;BRAND, O;2
дий;O, TYPE;2
таль;BRAND, O;2
два;BRAND, TYPE;2
▁престиж;BRAND, TYPE;2
▁tea;BRAND, TYPE;2
что;O, TYPE;2
▁ос;BRAND, TYPE;2
нси;O, TYPE;2
рна;O, TYPE;2
▁me;BRAND, TYPE;2
▁v;BRAND, O;2
pri;BRAND, O;2
▁искрен;BRAND, TYPE;2
▁6;BRAND, VOLUME;2
▁деп;O, TYPE;2
▁kul;O, TYPE;2
тау;BRAND, TYPE;2
▁прима;BRAND, TYPE;2
ce;BRAND, O;2
▁китайски;O, TYPE;2
ому;O, TYPE;2
лц;O, TYPE;2
▁ряд;O, TYPE;2
▁слаб;O, TYPE;2
эй;BRAND, TYPE;2
шим;BRAND, TYPE;2
▁7;TYPE, VOLUME;2
▁бут;O, TYPE;2
тке;O, TYPE;2
▁рай;BRAND, TYPE;2
чар;BRAND, TYPE;2
рыс;O, TYPE;2
приз;BRAND, TYPE;2
▁flor;BRAND, O;2
ировки;O, TYPE;2
▁проби;O, TYPE;2
ill;BRAND, TYPE;2
▁шк;O, TYPE;2
екты;O, TYPE;2
хаж;O, TYPE;2
▁pure;BRAND, TYPE;2
рви;BRAND, TYPE;2
tus;BRAND, O;2
▁буз;BRAND, TYPE;2
▁флеш;BRAND, TYPE;2
мис;BRAND, TYPE;2
▁автомат;O, TYPE;2
ац;BRAND, TYPE;2
▁ард;O, TYPE;2
▁мета;BRAND, TYPE;2
▁има;O, TYPE;2
▁элит;BRAND, TYPE;2
▁0;O, PERCENT;2
▁дан;BRAND, TYPE;2
аж;O, TYPE;2
сц;O, TYPE;2
▁соц;O, TYPE;2
▁мажите;BRAND, TYPE;2
▁cart;BRAND, O;2
дите;O, TYPE;2
▁наша;BRAND, O;2
бус;BRAND, TYPE;2
иком;O, TYPE;2
мест;BRAND, TYPE;2
ib;BRAND, O;2
пласт;BRAND, TYPE;2
ути;BRAND, TYPE;2
bb;BRAND, O;2
ттер;BRAND, TYPE;2
тю;O, TYPE;2
вана;O, TYPE;2
крил;O, TYPE;2
▁raz;BRAND, TYPE;2
▁can;BRAND, O;2
ален;BRAND, TYPE;2
тий;BRAND, TYPE;2
▁новый;O, TYPE;2
▁beer;BRAND, TYPE;2
▁радость;O, TYPE;2
кен;BRAND, TYPE;2
▁vin;BRAND, TYPE;2
▁прив;BRAND, TYPE;2
мос;BRAND, O;2
кана;BRAND, TYPE;2
sty;BRAND, TYPE;2
лица;O, TYPE;2
хай;BRAND, TYPE;2
кви;BRAND, TYPE;2
щенко;O, TYPE;2
bic;BRAND, O;2
нди;O, TYPE;2
▁minerale;BRAND, TYPE;2
▁sy;BRAND, O;2
вео;O, TYPE;2
ары;O, TYPE;2
guar;BRAND, O;2
▁исто;BRAND, O;2
дух;O, TYPE;2
▁рат;BRAND, TYPE;2
рит;BRAND, TYPE;2
бай;BRAND, TYPE;2
▁так;BRAND, O;2
▁важна;BRAND, O;2
▁fr;BRAND, TYPE;2
спер;BRAND, TYPE;2
ковски;BRAND, TYPE;2
pica;BRAND, TYPE;2
дик;BRAND, TYPE;2
▁маги;BRAND, TYPE;2
▁урожай;BRAND, O;2
ях;O, TYPE;2
▁сака;O, TYPE;2
