tokens;tags;sample
['▁при', 'права', '▁для', '▁кри', 'ве', 'ток'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O'];приправа для криветок
['▁', 'гер', 'ку', 'о', 'ес', '▁без', '▁гл', 'ют', 'ена'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O'];геркуоес без глютена
['▁болон', 'т'];['B-TYPE', 'I-TYPE'];болонт
['▁конф', 'е', 'ты', '▁с', '▁ну', 'го', 'й'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O'];конфеты с нугой
['▁но', 'жи'];['B-TYPE', 'I-TYPE'];ножи
['▁протеин', 'ов', 'в', 'й'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];протеиноввй
['▁сум', 'к'];['B-TYPE', 'I-TYPE'];сумк
['▁shko', 'la', '▁новый', '▁18', '▁мл'];['B-TYPE', 'I-TYPE', 'O', 'B-VOLUME', 'I-VOLUME'];shkola новый 18 мл
['▁7', '▁g', '▁хал', 'ва'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE'];7 g халва
['▁', 'бад', 'ьян', '▁чтобы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O'];бадьян чтобы
['▁крем', '-', 'мы', 'ло', '▁aur'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND'];крем-мыло aur
['▁У', 'ХОД', '▁ЗА', '▁ВО', 'ЛО', 'СА', 'МИ', '▁190', '▁М', 'Л'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];УХОД ЗА ВОЛОСАМИ 190 МЛ
['▁', 'ук', 'пат', 'ы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];укпаты
['▁ма', 'фф', 'и', 'нц'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];маффинц
['▁', 'льня', 'ное', '▁масло'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE'];льняное масло
['▁315', '▁ml', '▁Хал', 'ва'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE'];315 ml Халва
['▁250', 'g', '▁со', 'ки'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE'];250g соки
['▁кор', 'зин', 'очки', '▁с', '▁', 'виш', 'ней'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O'];корзиночки с вишней
['▁пече', 'нь', 'е', '▁с', '▁кори'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O'];печенье с кори
['▁пу', 'динг', 'и', '▁з', 'дра', 'й', 'ве'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND'];пудинги здрайве
['▁хлоп', 'ья', '▁до', 'я', '▁завтра', 'ка'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O'];хлопья доя завтрака
['▁хлеб', 'ушки'];['B-TYPE', 'I-TYPE'];хлебушки
['▁', 'РЫ', 'Б', 'НЫ', 'Е', '▁С', 'НЕ', 'КИ', '▁70', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];РЫБНЫЕ СНЕКИ 70г
['▁стру', 'чков', 'ый'];['B-TYPE', 'I-TYPE', 'I-TYPE'];стручковый
['▁s', 'do', 'ba', '▁50', 'Г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];sdoba 50Г
['▁vse', '▁dl', 'Ma', '▁ubo', 'rki', '▁750', 'м', 'л'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];vse dlMa uborki 750мл
['▁хо', 'б', 'би', '▁или', '▁1', '▁шт'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'B-VOLUME', 'I-VOLUME'];хобби или 1 шт
['▁и', 'ае', 'дар', 'ины'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];иаедарины
['▁С', 'УП', 'Ы', '▁110', '▁Г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];СУПЫ 110 Г
['▁Д', 'ЕТ', 'СКИ', 'Е', '▁НАП', 'ИТ', 'КИ', '▁0.2', 'л'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];ДЕТСКИЕ НАПИТКИ 0.2л
['▁отдых', '▁16', '▁Ш', 'т'];['B-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];отдых 16 Шт
['▁син', 'ерге', 'тик'];['B-TYPE', 'I-TYPE', 'I-TYPE'];синергетик
['▁карт', 'ош', 'кв'];['B-TYPE', 'I-TYPE', 'I-TYPE'];картошкв
['▁E', '00', 'г', '▁семе', 'чки'];['B-VOLUME', 'I-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE'];E00г семечки
['▁птиц', 'а', '▁525', 'г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];птица 525г
['▁s', '▁Л', 'ИНИ', '▁20%'];['B-TYPE', 'B-BRAND', 'I-BRAND', 'B-PERCENT'];▁s ЛИНИ ▁20%
['▁я', 'нта', 'рь', '▁хлеб'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE'];янтарь хлеб
['▁дар', 'ида'];['B-BRAND', 'I-BRAND'];дарида
['▁хлеб', 'цы', '▁союз', 'п', 'ище', 'про'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND'];хлебцы союзпищепро
['▁сви', 'т', 'л'];['B-TYPE', 'I-TYPE', 'I-TYPE'];свитл
['▁2', '6%', '▁всё', '▁для', '▁вы', 'пе', 'чки', '▁без'];['B-PERCENT', 'I-PERCENT', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'O'];26% всё для выпечки без
['▁сахар', '▁9', 'г', '▁всё'];['B-TYPE', 'B-VOLUME', 'I-VOLUME', 'O'];сахар 9г всё
['▁мор', 'ожен', 'ное', '▁шоколад', 'ное'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];мороженное шоколадное
['▁72', '▁г', '▁Од', 'е', 'жда', '▁хороший'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'O'];72 г Одежда хороший
['▁й', 'о', 'гурт', '▁', 'пить', 'евой', '▁без', '▁са', 'зар', 'а'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O'];йогурт питьевой без сазара
['▁мин', 'кра', 'льна'];['B-TYPE', 'I-TYPE', 'I-TYPE'];минкральна
['▁без', 'лак', 'то', 'х', 'ное'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];безлактохное
['▁рамен'];['B-TYPE'];рамен
['▁бу', 'ма', 'жно', '-', 'це', 'лю', 'ло', 'зна', 'я', '▁продукция'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE'];бумажно-целюлозная продукция
['▁без', 'моло', 'ч'];['B-TYPE', 'I-TYPE', 'I-TYPE'];безмолоч
['▁ци', 'кор', 'иц'];['B-TYPE', 'I-TYPE', 'I-TYPE'];цикориц
['▁ко', 'аб', 'ов', 'вы', 'е'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];коабоввые
['▁ке', '▁1', '▁%'];['B-TYPE', 'B-PERCENT', 'I-PERCENT'];▁ке ▁ 1 %
['▁бу', 'ма', 'ж', 'ные', '▁ды', 'ро', 'кол'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];бумажные дырокол
['▁м', 'ски'];['B-TYPE', 'I-TYPE'];мски
['▁ап', 'пель', 'си', 'ны'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];аппельсины
['▁рис', '▁', 'шли', 'ф', 'ова', 'нный'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];рис шлифованный
['▁пиро', 'де', 'ное'];['B-TYPE', 'I-TYPE', 'I-TYPE'];пироденое
['▁спи', 'чи'];['B-TYPE', 'I-TYPE'];спичи
['▁пакет', 'ы', '▁для', '▁за'];['B-TYPE', 'I-TYPE', 'O', 'O'];пакеты для за
['▁100', '▁%', '▁Как', 'ао'];['B-PERCENT', 'I-PERCENT', 'B-TYPE', 'I-TYPE'];100 % Какао
['▁рис', 'с'];['B-TYPE', 'I-TYPE'];рисс
['▁всё', '-', 'таки', '▁ГАЗ', 'И', 'РОВ', 'КА', '▁900', 'м', 'л'];['O', 'O', 'O', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];всё-таки ГАЗИРОВКА 900мл
['▁сыр', '▁по', 'ше', 'хон', 'ский'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];сыр пошехонский
['▁спец', 'ые', '▁к', '▁рыб', 'е'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O'];спецые к рыбе
['▁кол', 'баса', 'i'];['B-TYPE', 'I-TYPE', 'I-TYPE'];колбасаi
['▁', 'яч', 'мен'];['B-TYPE', 'I-TYPE', 'I-TYPE'];ячмен
['▁58', 'Г', '▁И', 'спек', 'ли', '▁Для', '▁Вас'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];58Г Испекли Для Вас
['▁толку', 'ш'];['B-TYPE', 'I-TYPE'];толкуш
['▁мор', 'ожен', 'но', 'н'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];мороженнон
['▁пом', 'ид', 'оры', '▁консерв', 'ирован', 'н'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];помидоры консервированн
['▁к', 'ренд', 'к', 'ль'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];крендкль
['▁ryb', 'a', '▁800', 'Г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];ryba 800Г
['▁хал', 'ва', '▁16%'];['B-TYPE', 'I-TYPE', 'B-PERCENT'];халва 16%
['▁купа', 'ты', '▁', 'черк', 'из', 'ово'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND'];купаты черкизово
['▁по', '▁яго', 'ды', '▁400', '▁мл'];['O', 'B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];по ягоды 400 мл
['▁e', 'conta', '▁ви', 'лк'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE'];econta вилк
['▁пря', 'ники', '▁w', '60', '▁г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];пряники w60 г
['▁предмет', 'ы', '▁для', '▁у', 'бор', 'ки', '▁60', '▁l'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];предметы для уборки 60 l
['▁с', 'доб', 'а', '▁100', 'Г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];сдоба 100Г
['▁тор', 'ия', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE'];торияки
['▁кар', 'фт', 'оф', 'ель'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];карфтофель
['▁ван', 'иль', 'н'];['B-TYPE', 'I-TYPE', 'I-TYPE'];ванильн
['▁су', 'х', 'ие', '▁завтра', 'ки', '▁420', 'Г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];сухие завтраки 420Г
['▁я', '▁к', 'вас', '▁1.3', '▁Л'];['O', 'B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];я квас 1.3 Л
['▁сол', 'ом', 'ка', '▁210', '▁Г', '▁вот'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'O'];соломка 210 Г вот
['▁др', 'рж', 'жи'];['B-TYPE', 'I-TYPE', 'I-TYPE'];дрржжи
['▁ох', 'лаж', 'ден', 'ная', '▁кулинар', 'ия'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];охлажденная кулинария
['▁чи', 'п', 'сы', '▁из', '▁печ', 'и'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O'];чипсы из печи
['▁стек', 'лом', 'ой', '▁лу'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND'];стекломой лу
['▁с', 'ыкты', 'вка', 'рх', 'леб', '▁то', 'рт'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE'];сыктывкархлеб торт
['▁мл', 'р', 'ков', 'б'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];млрковб
['▁о', 'жа'];['O', 'O'];ожа
['▁конф', 'ты'];['B-TYPE', 'I-TYPE'];конфты
['▁land', 'lieb', 'e', '▁пу', 'ди'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE'];landliebe пуди
['▁море', 'продукт', 'ы', '▁30', '▁L'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];морепродукты 30 L
['▁', 'зе', 'лег', 'ь'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];зелегь
['▁зла', 'ками'];['B-TYPE', 'I-TYPE'];злаками
['▁', 'РЫ', 'Б', 'НЫ', 'Е', '▁С', 'НЕ', 'КИ', '▁40', '▁Г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];РЫБНЫЕ СНЕКИ 40 Г
['▁кофе', '▁cart', '▁no', 'ire'];['B-TYPE', 'B-BRAND', 'B-BRAND', 'I-BRAND'];кофе cart noire
['▁зелен', 'ь', '▁лу'];['B-TYPE', 'I-TYPE', 'B-TYPE'];зелень лу
['▁t', '00', 'М', 'л', '▁вся', '▁готова', 'я', '▁е', 'да'];['B-VOLUME', 'I-VOLUME', 'I-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];t00Мл вся готовая еда
['▁крв', 'б', 'овые'];['B-TYPE', 'I-TYPE', 'I-TYPE'];крвбовые
['▁пан', 'гас'];['B-TYPE', 'I-TYPE'];пангас
['▁пет', 'рох', 'леб', '▁кала'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE'];петрохлеб кала
['▁с', '▁p', '▁кг'];['B-TYPE', 'B-BRAND', 'B-VOLUME'];▁с p кг
['▁пер', 'чат', 'ки', '▁dan'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND'];перчатки dan
['▁поро', 'шок', '▁кап', 'сул', 'ы'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];порошок капсулы
['▁мар', 'ме', 'лад'];['B-TYPE', 'I-TYPE', 'I-TYPE'];мармелад
['▁холод', 'ный', '▁чай', '▁450', 'М', 'л'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];холодный чай 450Мл
['▁сыр', '▁для', '▁гри', 'ля'];['B-TYPE', 'O', 'O', 'O'];сыр для гриля
['▁купа', 'та'];['B-TYPE', 'I-TYPE'];купата
['▁по', 'нга', 'си', 'ус'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];понгасиус
['▁1', '▁шт', '▁o', 't', 'dy', 'h'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];1 шт otdyh
['▁сыр', 'ный', '▁со'];['B-TYPE', 'I-TYPE', 'B-TYPE'];сырный со
['▁со', 'е', 'вы'];['B-TYPE', 'I-TYPE', 'I-TYPE'];соевы
['▁тест', 'о', '▁дро', 'же', 'вое', '▁для', '▁пи', 'рож', 'ков'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O'];тесто дрожевое для пирожков
['▁alter', 'o'];['B-BRAND', 'I-BRAND'];altero
['▁', 'рога', 'лики', '▁век', 'то'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];рогалики векто
['▁а', 'е', 'чина'];['B-TYPE', 'I-TYPE', 'I-TYPE'];аечина
['▁й', 'го', 'у', 'рт'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];йгоурт
['▁пи', 'рож', 'ные', '▁мой'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND'];пирожные мой
['▁', 'фер', 'ри'];['B-BRAND', 'I-BRAND', 'I-BRAND'];ферри
['▁кра', 'б', 'ов', 'в', 'н'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];крабоввн
['▁з', 'пом', 'ид', 'оры'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];зпомидоры
['▁bio', 'mio', '▁крем', '-', 'мыл'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE'];biomio крем-мыл
['▁абсолют', '(', 'мя', 'со', ')', '▁студ', 'е'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE'];абсолют(мясо) студе
['▁болон', 'ье', 'за'];['B-TYPE', 'I-TYPE', 'I-TYPE'];болоньеза
['▁н', 'ф', '▁ка', 'стр', 'ю'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE'];нф кастрю
['▁твор', 'од', 'рк'];['B-TYPE', 'I-TYPE', 'I-TYPE'];твородрк
['▁za', 'ku', 'ski', '▁270', '▁г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];zakuski 270 г
['▁том', 'ат', 'на', 'а'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];томатнаа
['▁можно', '▁сто', '▁Сме', '▁3'];['O', 'B-BRAND', 'B-TYPE', 'B-PERCENT'];можно сто ▁Сме ▁ 3
['▁спа', 'ге', 'т', 'тк'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];спагеттк
['▁тест', 'о', '▁400', '▁Г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];тесто 400 Г
['▁кор', 'бо', 'над'];['B-TYPE', 'I-TYPE', 'I-TYPE'];корбонад
['▁16', 'Г', '▁', 'sportiv', 'no', 'e', '▁pita', 'nie'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];16Г sportivnoe pitanie
['▁голуб', 'ика'];['B-TYPE', 'I-TYPE'];голубика
['▁pas', 'ty', '▁500', 'г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];pasty 500г
['▁кол', 'бо', 'са', '▁в', '▁на', 'рк', 'з', 'ке'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O', 'O'];колбоса в наркзке
['▁М', 'Я', 'СО', '▁400', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];МЯСО 400г
['▁полу', 'фабрик', 'и', 'ты'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];полуфабрикиты
['▁пря', 'ники', '▁250', '▁г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];пряники 250 г
['▁Х', 'ЛЕ', 'Б', 'Ц', 'Ы', '▁115', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];ХЛЕБЦЫ 115г
['▁та', 'рх', 'ум'];['B-TYPE', 'I-TYPE', 'I-TYPE'];тархум
['▁40%', '▁всё', '▁для', '▁вы', 'пе', 'чки'];['B-PERCENT', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];40% всё для выпечки
['▁пюре', '▁детско', 'е', '▁г', 'руша'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];пюре детское груша
['▁ж', 'кла', 'тин'];['B-TYPE', 'I-TYPE', 'I-TYPE'];жклатин
['▁2', '▁С', 'МЕ', '▁не'];['B-VOLUME', 'B-TYPE', 'I-TYPE', 'B-BRAND'];▁2 ▁СМЕ ▁не
['▁лако', 'м', 'ка', '▁кор', 'зин', 'оч', 'к'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];лакомка корзиночк
['▁добро', 'го', 'ст', '▁сал'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE'];доброгост сал
['▁co', 'tany', 'i'];['B-BRAND', 'I-BRAND', 'I-BRAND'];cotanyi
['▁сыр', '▁плав', 'лен', 'ны'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];сыр плавленны
['▁май', 'щ'];['B-TYPE', 'I-TYPE'];майщ
['▁кру', 'асан', 'ы', '▁в', '▁у'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O'];круасаны в у
['▁', 'скре', 'б', 'ки', '▁sv'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND'];скребки sv
['▁дал', 'матов', 'о', '▁конф', 'е'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE'];далматово конфе
['▁оде', 'жда', '▁40', '▁G'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];одежда 40 G
['▁спре', 'й', '▁glad'];['B-TYPE', 'I-TYPE', 'B-BRAND'];спрей glad
['▁под', 'ушки', '▁для', '▁сти', 'рки'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O'];подушки для стирки
['▁яе', 'сно', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE'];яеснок
['▁пиво', '▁ну', '▁400', 'м', 'л'];['B-TYPE', 'O', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];пиво ну 400мл
['▁Вы', 'годно', '▁3.', '▁2%'];['B-TYPE', 'I-TYPE', 'B-PERCENT', 'I-PERCENT'];Выгодно 3. 2%
['▁при', 'права', '▁для', '▁мя'];['B-TYPE', 'I-TYPE', 'O', 'O'];приправа для мя
['▁за', 'лив', 'ной', '▁д', 'с'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];заливной дс
['▁мор', 'ожен', 'ую'];['B-TYPE', 'I-TYPE', 'I-TYPE'];мороженую
['▁каш', 'а', '▁фр', 'у', 'та', '▁ня', 'ня'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'B-BRAND', 'I-BRAND'];каша фрута няня
['▁ас', 'сор', 'ти', '▁из', '▁рыб', 'ы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O'];ассорти из рыбы
['▁16', '▁%', '▁мар', 'ме', 'лад'];['B-PERCENT', 'I-PERCENT', 'B-TYPE', 'I-TYPE', 'I-TYPE'];16 % мармелад
['▁200', 'g', '▁семе', 'чки'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE'];200g семечки
['▁смета', 'ра'];['B-TYPE', 'I-TYPE'];сметара
['▁кор', 'овки', 'но'];['B-TYPE', 'I-TYPE', 'I-TYPE'];коровкино
['▁пи', 'чение'];['B-TYPE', 'I-TYPE'];пичение
['▁спи', 'чки', '▁фен', 'и'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];спички фени
['▁лак', '▁С', 'МЕ', '▁3'];['B-BRAND', 'B-TYPE', 'I-TYPE', 'B-PERCENT'];лак ▁ СМЕ ▁ 3
['▁птиц', 'а', '▁r', '00', 'г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];птица r00г
['▁в', 'я', 'ле', 'ная', '▁на', 'утил'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];вяленая наутил
['▁крас', 'овые'];['B-TYPE', 'I-TYPE'];красовые
['▁гр', 'руш', 'и'];['B-TYPE', 'I-TYPE', 'I-TYPE'];грруши
['▁сок', '▁фр', 'ук', 'то', '▁ня', 'ня'];['B-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'B-BRAND', 'I-BRAND'];сок фрукто няня
['▁70%', '▁масло'];['B-PERCENT', 'B-TYPE'];70% масло
['▁си', 'га', 'рил', 'ла'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];сигарилла
['▁сыр', 'а', 'богат', 'ов'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];сырабогатов
['▁вет', 'чин'];['B-TYPE', 'I-TYPE'];ветчин
['▁мои', 'нез'];['B-TYPE', 'I-TYPE'];моинез
['▁вар', 'ене', 'ки', '▁с', '▁ко'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O'];варенеки с ко
['▁', 'пит', 'евой'];['B-TYPE', 'I-TYPE', 'I-TYPE'];питевой
['▁ми', 'лк'];['B-TYPE', 'I-TYPE'];милк
['▁', 'поло', 'те', 'нца', '▁в', '▁ру', 'ло', 'не'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O'];полотенца в рулоне
['▁чер', 'н', 'ично', 'е', '▁вар', 'ень', 'е'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];черничное варенье
['▁gras', 's', '▁опо', 'ла', 'ски', 'ва', 'тел'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];grass ополаскивател
['▁', 'КОЛ', 'БА', 'СА', '▁R', '00', '▁г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];КОЛБАСА R00 г
['▁вет', 'ч', 'т', 'н'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];ветчтн
['▁за', 'сып', 'а', 'шка'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];засыпашка
['▁с', 'овка'];['B-TYPE', 'I-TYPE'];совка
